method,fraction,run,algorithm,auc_score
nnar,0.45,8,RandomForestScorer,0.8770389918644432
nnar,0.2,1,AUMScorer,0.8245833685903945
nnar,0.15,13,ModelScorer,1.0
nnar,0.4,9,RandomForestScorer,0.9356256841970824
nar,0.05,13,ModelScorer,1.0
ncar,0.5,19,RandomForestScorer,0.8969063032748753
ncar,0.4,3,AUMScorer,0.7047826656767426
nar,0.05,16,RandomForestScorer,0.96792489322473
nnar,0.35,17,RandomForestScorer,0.9361636478403433
ncar,0.05,7,RandomForestScorer,0.9680588607426965
ncar,0.5,15,AUMScorer,0.69065659866855
nar,0.25,8,ModelScorer,0.9285714285714286
nar,0.15,0,RandomForestScorer,0.9500676454538654
nar,0.05,3,AUMScorer,0.9000417803302281
nar,0.35,10,ModelScorer,0.9285714285714285
nar,0.25,11,RandomForestScorer,0.9417511896753786
nnar,0.35,4,AUMScorer,0.7788764555397727
ncar,0.5,17,ModelScorer,0.857142857142857
ncar,0.2,12,ModelScorer,0.9285714285714286
nar,0.2,12,RandomForestScorer,0.9408214326846774
nnar,0.2,14,ModelScorer,0.9285714285714286
ncar,0.05,5,ModelScorer,0.9285714285714285
nnar,0.25,4,ModelScorer,0.9285714285714286
nnar,0.1,6,RandomForestScorer,0.9623267111715659
nnar,0.3,16,ModelScorer,0.8571428571428571
nar,0.4,19,ModelScorer,0.9285714285714285
ncar,0.2,11,AUMScorer,0.79205475185379
ncar,0.25,6,ModelScorer,0.9285714285714286
nar,0.15,15,AUMScorer,0.8020161007731623
ncar,0.25,1,AUMScorer,0.7808214447881369
ncar,0.4,19,RandomForestScorer,0.9330157502999454
ncar,0.3,13,AUMScorer,0.7041035273974536
nnar,0.5,15,AUMScorer,0.7383040440863902
nnar,0.35,5,AUMScorer,0.777809726021471
ncar,0.1,2,ModelScorer,1.0
nnar,0.2,4,AUMScorer,0.79668508364292
nnar,0.5,1,RandomForestScorer,0.9270173595469323
nnar,0.45,2,RandomForestScorer,0.9262486583267511
ncar,0.45,10,RandomForestScorer,0.8889879692310266
ncar,0.5,0,RandomForestScorer,0.9249166026789274
nar,0.4,9,AUMScorer,0.7882174035761071
ncar,0.35,18,RandomForestScorer,0.9345432774620612
nar,0.35,17,AUMScorer,0.7446368265350882
nnar,0.05,6,ModelScorer,1.0
nar,0.3,1,ModelScorer,0.9285714285714286
nnar,0.4,5,AUMScorer,0.7548296591850148
nar,0.3,18,AUMScorer,0.8214735426864467
nar,0.45,14,RandomForestScorer,0.9185962958814922
nnar,0.05,9,RandomForestScorer,0.9700467896822471
nar,0.3,4,RandomForestScorer,0.9438129717357723
ncar,0.35,16,ModelScorer,0.9285714285714285
nar,0.15,19,ModelScorer,0.9285714285714285
nar,0.2,18,ModelScorer,0.8571428571428571
ncar,0.2,15,ModelScorer,0.7857142857142857
ncar,0.25,5,ModelScorer,0.9285714285714286
nnar,0.25,7,ModelScorer,0.7857142857142857
nar,0.1,10,RandomForestScorer,0.9637847992083359
ncar,0.05,3,AUMScorer,0.8684172776251589
ncar,0.35,19,RandomForestScorer,0.9020127853307761
nnar,0.3,14,AUMScorer,0.7734257666366872
ncar,0.25,8,RandomForestScorer,0.9267362188305792
nnar,0.45,10,RandomForestScorer,0.9331739454789143
nnar,0.25,10,RandomForestScorer,0.9479582266003724
nnar,0.35,9,ModelScorer,0.8571428571428571
nnar,0.3,0,RandomForestScorer,0.9433446710061821
nar,0.4,0,ModelScorer,0.8571428571428571
nnar,0.2,11,RandomForestScorer,0.9523786451419893
nar,0.45,12,ModelScorer,0.7142857142857143
ncar,0.25,4,AUMScorer,0.7414906468243985
nar,0.5,2,ModelScorer,0.8571428571428572
nar,0.5,19,AUMScorer,0.7767045158461369
nnar,0.15,18,RandomForestScorer,0.9466064834669221
nar,0.05,18,RandomForestScorer,0.9720701161368307
ncar,0.35,6,AUMScorer,0.7599555532581371
nar,0.45,15,RandomForestScorer,0.9084483673992407
ncar,0.1,5,ModelScorer,1.0
nar,0.2,8,AUMScorer,0.8513346649162801
nar,0.5,5,RandomForestScorer,0.8866604753010862
ncar,0.4,16,ModelScorer,0.8571428571428571
nnar,0.4,18,ModelScorer,0.9285714285714285
ncar,0.15,12,AUMScorer,0.8358643485513019
nnar,0.15,14,AUMScorer,0.8517075492590813
ncar,0.1,8,RandomForestScorer,0.9623285217531953
nnar,0.45,8,ModelScorer,0.7857142857142856
nar,0.25,13,RandomForestScorer,0.9417122203006366
ncar,0.4,15,AUMScorer,0.7464237460814787
nar,0.05,16,ModelScorer,1.0
nnar,0.35,17,ModelScorer,0.9285714285714286
nar,0.05,19,RandomForestScorer,0.9654862326086728
nnar,0.2,19,RandomForestScorer,0.9461590433455501
ncar,0.3,7,ModelScorer,0.8571428571428572
ncar,0.45,6,AUMScorer,0.6746636462585591
ncar,0.5,18,AUMScorer,0.6398358174210198
nar,0.15,0,ModelScorer,0.9285714285714285
ncar,0.35,14,AUMScorer,0.7446614454387323
nnar,0.35,16,AUMScorer,0.7880199154565245
nar,0.25,11,ModelScorer,1.0
nar,0.1,13,RandomForestScorer,0.9578287881658863
ncar,0.35,0,RandomForestScorer,0.9296204921053329
nar,0.15,3,RandomForestScorer,0.9527397431043828
nar,0.05,6,AUMScorer,0.8731742210925142
nar,0.25,14,RandomForestScorer,0.9434164832559095
nnar,0.1,6,ModelScorer,0.9285714285714285
nnar,0.3,3,RandomForestScorer,0.9371127201948508
nnar,0.2,17,ModelScorer,0.8571428571428572
nar,0.45,10,AUMScorer,0.7450853252913576
nnar,0.1,9,RandomForestScorer,0.9569697346608381
nar,0.5,0,AUMScorer,0.7422905461939998
nar,0.3,0,AUMScorer,0.8058474749894982
ncar,0.1,3,AUMScorer,0.8503370615484953
ncar,0.4,19,ModelScorer,0.8571428571428571
nar,0.25,1,AUMScorer,0.8069232302280849
nar,0.15,1,ModelScorer,0.9285714285714285
ncar,0.15,15,AUMScorer,0.7920849164726038
ncar,0.2,14,AUMScorer,0.8202976725025373
nar,0.15,18,AUMScorer,0.8047560624440635
nnar,0.4,16,AUMScorer,0.7524192241604879
nnar,0.45,11,ModelScorer,0.9285714285714285
nnar,0.45,6,AUMScorer,0.7361937780082918
nnar,0.5,1,ModelScorer,0.9285714285714286
nnar,0.5,18,AUMScorer,0.7588113282305476
nnar,0.2,7,AUMScorer,0.8019537714659413
ncar,0.45,10,ModelScorer,0.9285714285714286
nar,0.05,14,AUMScorer,0.8692083960006853
ncar,0.45,13,RandomForestScorer,0.9041871125703438
ncar,0.5,3,RandomForestScorer,0.8485841190136885
nar,0.05,0,RandomForestScorer,0.9615825660546902
ncar,0.05,16,ModelScorer,1.0
nnar,0.25,12,RandomForestScorer,0.9478747474973784
nar,0.2,2,ModelScorer,1.0
ncar,0.35,17,AUMScorer,0.7316514520473932
nar,0.2,19,AUMScorer,0.8205359116818822
nar,0.5,16,RandomForestScorer,0.8599229394735473
nar,0.25,9,AUMScorer,0.8493743533740776
nar,0.3,4,ModelScorer,0.9285714285714286
nnar,0.05,9,ModelScorer,0.9285714285714285
ncar,0.45,11,ModelScorer,0.9285714285714286
nar,0.45,17,RandomForestScorer,0.9278002669464287
ncar,0.25,17,ModelScorer,0.9285714285714286
ncar,0.15,9,RandomForestScorer,0.9540969787715095
nar,0.3,7,RandomForestScorer,0.9421555382965622
nar,0.1,10,ModelScorer,0.9285714285714285
ncar,0.35,19,ModelScorer,0.9285714285714285
nnar,0.05,12,RandomForestScorer,0.9788234558265901
ncar,0.2,18,ModelScorer,0.8571428571428572
ncar,0.1,10,RandomForestScorer,0.9594595604176835
nnar,0.2,15,AUMScorer,0.8012254789700567
nnar,0.25,10,ModelScorer,1.0
ncar,0.05,6,AUMScorer,0.8305560054522751
nar,0.5,3,AUMScorer,0.7886846996741035
nnar,0.3,0,ModelScorer,1.0
nnar,0.15,2,RandomForestScorer,0.9456648039879101
ncar,0.4,0,ModelScorer,0.8571428571428571
nar,0.1,9,AUMScorer,0.8320974021435306
nar,0.4,3,ModelScorer,0.8571428571428571
ncar,0.4,17,AUMScorer,0.7173783436795191
ncar,0.2,17,AUMScorer,0.8163726657037879
nar,0.45,15,ModelScorer,0.8571428571428571
ncar,0.25,7,AUMScorer,0.749464911070354
nnar,0.45,9,AUMScorer,0.7592067531260467
ncar,0.4,3,RandomForestScorer,0.943223042996814
nar,0.5,5,ModelScorer,0.8571428571428572
ncar,0.1,8,ModelScorer,1.0
nnar,0.1,5,AUMScorer,0.839133715731511
ncar,0.3,12,RandomForestScorer,0.9426669466569885
ncar,0.5,6,RandomForestScorer,0.9044357855924442
nar,0.3,15,RandomForestScorer,0.9377201788707
nnar,0.35,4,RandomForestScorer,0.9377606871451925
ncar,0.05,19,ModelScorer,1.0
ncar,0.4,18,AUMScorer,0.6841774447428755
nar,0.05,19,ModelScorer,1.0
nar,0.25,12,AUMScorer,0.823291078869934
nnar,0.05,7,AUMScorer,0.8889870133481679
nar,0.3,2,AUMScorer,0.841509779472816
ncar,0.05,13,RandomForestScorer,0.9767800523177731
ncar,0.3,10,ModelScorer,0.8571428571428571
ncar,0.45,9,AUMScorer,0.7343846176313931
nnar,0.5,12,ModelScorer,0.7857142857142858
ncar,0.35,0,ModelScorer,0.9285714285714285
nnar,0.35,19,AUMScorer,0.8025764103632953
ncar,0.1,16,ModelScorer,0.9285714285714285
nar,0.1,16,RandomForestScorer,0.9517449771560236
nar,0.25,14,ModelScorer,0.8571428571428572
nnar,0.2,18,AUMScorer,0.7958147917660454
nnar,0.5,15,RandomForestScorer,0.9368461188599286
nar,0.15,6,RandomForestScorer,0.9549718251607187
nnar,0.4,4,RandomForestScorer,0.924510956919876
nnar,0.25,8,AUMScorer,0.7827836263894696
ncar,0.2,2,RandomForestScorer,0.9406350156670438
nnar,0.3,3,ModelScorer,1.0
nnar,0.45,16,RandomForestScorer,0.9242250766685917
nar,0.3,10,AUMScorer,0.8187555859624228
nnar,0.1,9,ModelScorer,1.0
nar,0.4,6,ModelScorer,0.7857142857142856
nar,0.15,2,AUMScorer,0.8553703744229346
nar,0.45,13,AUMScorer,0.7666350074312238
nnar,0.1,12,RandomForestScorer,0.9565837017437039
ncar,0.3,0,AUMScorer,0.7831832849075268
nar,0.3,3,AUMScorer,0.7961264532002524
ncar,0.1,6,AUMScorer,0.8346588667556304
nnar,0.1,8,AUMScorer,0.8480457917222712
nnar,0.4,2,ModelScorer,0.7857142857142856
nnar,0.4,19,AUMScorer,0.7984191907173218
ncar,0.5,12,ModelScorer,0.9285714285714285
nar,0.3,18,RandomForestScorer,0.9426333067386475
ncar,0.35,5,RandomForestScorer,0.9468663261158092
nar,0.35,8,RandomForestScorer,0.9164454511537973
nar,0.2,7,RandomForestScorer,0.9340473996425743
ncar,0.45,13,ModelScorer,0.8571428571428571
nar,0.05,0,ModelScorer,1.0
nar,0.05,17,AUMScorer,0.8680742523204412
